Period,Country,Sector,Subsector,Flow,Value,Marker
year/2018,czech-republic,cultural-sector,museums-and-galleries,exports,0.0,
year/2018,czech-republic,cultural-sector,library-and-archives,exports,0.0,suppressed
year/2018,czech-republic,cultural-sector,cultural-education,exports,0.0,
year/2018,czech-republic,cultural-sector,operation-of-historical-sites-and-similar-visitor-attractions,exports,0.0,
year/2018,czech-republic,audio-visual,audio-visual,exports,38.2784852753813,
year/2018,denmark,dcms-sectors-exc-tourism-and-civil-society,creative-industries,exports,684.189177894311,
year/2018,denmark,dcms-sectors-exc-tourism-and-civil-society,cultural-sector,exports,385.486625390571,
year/2018,denmark,dcms-sectors-exc-tourism-and-civil-society,digital-sector,exports,774.588202761284,
year/2018,denmark,dcms-sectors-exc-tourism-and-civil-society,gambling,exports,0.0,
year/2018,denmark,dcms-sectors-exc-tourism-and-civil-society,sport,exports,16.5775546005875,
year/2018,denmark,dcms-sectors-exc-tourism-and-civil-society,telecoms,exports,29.5434143677837,
year/2018,denmark,dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,exports,869.140341480993,
year/2018,denmark,creative-industries,advertising-and-marketing,exports,65.1265434901432,
year/2018,denmark,creative-industries,architecture,exports,0.0,suppressed
year/2018,denmark,creative-industries,crafts,exports,0.0,suppressed
year/2018,denmark,creative-industries,design-and-designer-fashion,exports,5.243984957615,
year/2018,denmark,creative-industries,film-tv-radio-and-photography,exports,378.956755457897,
year/2018,denmark,creative-industries,it-software-and-computer-services,exports,203.018931097904,
year/2018,denmark,creative-industries,publishing,exports,23.6620929580778,
year/2018,denmark,creative-industries,museums-galleries-and-libraries,exports,0.1132,
year/2018,denmark,creative-industries,music-performing-and-visual-arts,exports,6.4166699326736,
year/2018,denmark,digital-sector,manufacturing-of-electronics-and-computers,exports,2.261416480371,
year/2018,denmark,digital-sector,wholesale-of-computers-and-electronics,exports,0.0,suppressed
year/2018,denmark,digital-sector,publishing-excluding-translation-and-interpretation-activities,exports,21.5769956657738,
year/2018,denmark,digital-sector,software-publishing,exports,18.8543496635012,
year/2018,denmark,digital-sector,film-tv-video-radio-and-music,exports,381.618667011512,
year/2018,denmark,digital-sector,telecommunications,exports,29.5434143677837,
year/2018,denmark,digital-sector,computer-programming-consultancy-and-related-activities,exports,262.330947176839,
year/2018,denmark,digital-sector,information-service-activities,exports,18.2030577407955,
year/2018,denmark,digital-sector,repair-of-computers-and-communication-equipment,exports,0.0,suppressed
year/2018,denmark,cultural-sector,arts,exports,3.3636244055759,
year/2018,denmark,cultural-sector,film-tv-and-music,exports,381.605667011512,
year/2018,denmark,cultural-sector,radio,exports,0.0,suppressed
year/2018,denmark,cultural-sector,photography,exports,0.3911339734832,
year/2018,denmark,cultural-sector,cultural-crafts,exports,0.0,
year/2018,denmark,cultural-sector,museums-and-galleries,exports,0.0,suppressed
year/2018,denmark,cultural-sector,library-and-archives,exports,0.0,suppressed
year/2018,denmark,cultural-sector,cultural-education,exports,0.0,
